时间戳,设备ID,设备名称,AccX(g),AccY(g),AccZ(g),GyroX(°/s),GyroY(°/s),GyroZ(°/s),Roll(°),Pitch(°),Yaw(°),Q0,Q1,Q2,Q3
"2025-04-18T08:39:15.694Z",71bGpF6wIEHTfqUkTzvjXw==,"WT901BLE67",0.0117,1.7935,1.2773,66.35,109.44,-263.79,-10.03,14.77,-73.94,0.788086,0.010162,0.149567,-0.596924
"2025-04-18T08:39:15.692Z",YLArYl5LjeLyNY/gXUHzyg==,"WT901BLE67",0.8008,-0.1719,0.8613,90.21,51.21,39.31,12.94,-0.14,-13.77,0.984497,0.109009,-0.016083,-0.136108
"2025-04-18T08:39:16.288Z",d206T32MIdIunO20yZUSQQ==,"WT901BLE67",-0.0811,-0.2383,1.1416,3.72,-27.65,180.30,-2.00,-6.37,164.50,-0.082062,-0.046631,0.026611,-0.995148
"2025-04-18T08:39:16.591Z",Dw62CraX8yBcStMvzT57Iw==,"WT901BLE67",0.0073,-0.3188,-1.1807,471.31,-913.94,505.68,-129.97,-4.84,-31.92,-0.395630,0.875366,-0.231720,0.152924
"2025-04-18T08:39:16.757Z",71bGpF6wIEHTfqUkTzvjXw==,"WT901BLE67",0.0015,-0.4448,0.9360,79.77,-40.41,249.45,-15.86,17.34,-65.04,0.894287,0.007111,0.236725,-0.379517
"2025-04-18T08:39:16.759Z",D7QjzXhqJL1jbjGTgZ+o+A==,"WT901BLE67",0.1719,0.0532,0.3281,-30.94,-69.03,226.44,8.76,5.70,4.27,0.996338,0.058960,0.033356,0.051544
"2025-04-18T08:39:16.758Z",YLArYl5LjeLyNY/gXUHzyg==,"WT901BLE67",0.4502,-0.0454,1.7651,-80.57,145.39,148.99,10.44,2.29,-24.94,0.983582,0.062469,-0.012695,-0.168518
"2025-04-18T08:39:16.761Z",JOQ1+dSpo1egtinD1KjMoQ==,"WT901BLE67",0.0801,0.0410,1.0244,-5.19,6.04,1.22,2.87,-5.11,-36.92,0.947937,0.009247,-0.049133,-0.314301
"2025-04-18T08:39:17.259Z",d206T32MIdIunO20yZUSQQ==,"WT901BLE67",0.3564,0.9116,0.8589,-170.53,56.15,57.86,3.20,-5.26,169.25,-0.077148,-0.042572,-0.013641,-0.995972
"2025-04-18T08:39:17.486Z",Dw62CraX8yBcStMvzT57Iw==,"WT901BLE67",-0.8804,0.0889,0.6035,-5.80,-217.96,-69.03,-94.60,53.46,-63.30,-0.688995,0.398682,-0.604065,0.036316
"2025-04-18T08:39:17.712Z",YLArYl5LjeLyNY/gXUHzyg==,"WT901BLE67",-0.7397,1.2534,0.9487,28.20,-2.08,-53.28,7.18,-0.91,-4.63,0.981689,0.036041,-0.009674,-0.186523
"2025-04-18T08:39:17.851Z",71bGpF6wIEHTfqUkTzvjXw==,"WT901BLE67",-0.0229,-1.0928,0.7974,29.91,-6.16,289.67,-12.51,6.86,-66.04,0.865753,-0.047638,0.099792,-0.488007
"2025-04-18T08:39:17.486Z",D7QjzXhqJL1jbjGTgZ+o+A==,"WT901BLE67",-0.7920,0.0078,0.7339,-80.26,-101.62,153.99,7.14,9.73,-23.76,0.982849,0.077057,0.068878,-0.152344
"2025-04-18T08:39:17.712Z",JOQ1+dSpo1egtinD1KjMoQ==,"WT901BLE67",0.1108,0.0693,1.0137,1.83,1.59,-1.53,3.43,-6.90,-36.40,0.949371,0.009033,-0.067780,-0.306458
"2025-04-18T08:39:18.281Z",d206T32MIdIunO20yZUSQQ==,"WT901BLE67",0.8701,-0.7222,1.1104,-50.54,62.19,-139.28,-18.23,1.91,55.93,-0.903564,0.117279,-0.030609,-0.410797
"2025-04-18T08:39:18.538Z",Dw62CraX8yBcStMvzT57Iw==,"WT901BLE67",-1.7754,-0.0596,0.6426,-9.28,157.17,-288.94,-110.85,36.66,-68.42,-0.591064,0.545990,-0.587006,0.088654
"2025-04-18T08:39:18.800Z",71bGpF6wIEHTfqUkTzvjXw==,"WT901BLE67",0.5313,-0.8320,0.9756,-11.35,-135.19,378.97,-11.30,-0.06,-103.35,0.718811,-0.076172,0.078308,-0.686493
"2025-04-18T08:39:18.986Z",D7QjzXhqJL1jbjGTgZ+o+A==,"WT901BLE67",-0.2524,0.5376,0.7114,-12.02,-53.77,313.48,10.28,-0.92,26.43,0.947174,0.056793,-0.008942,0.315399
"2025-04-18T08:39:18.986Z",YLArYl5LjeLyNY/gXUHzyg==,"WT901BLE67",-0.3599,-0.3130,0.5610,-43.88,-163.64,104.49,5.97,8.05,-72.78,0.848297,0.069641,0.013733,-0.524628
